customer_id,sim_number,mobile_number,network_type,sim_type,activation_date,status
CUST00138,89091479081589392092,9344910885,4G,Postpaid,2024-10-29,Active
CUST00139,89724422323592791600,9831927277,5G,Prepaid,2023-02-12,Active
CUST00140,89005563023850992901,9793281816,4G,Postpaid,2025-11-29,Suspended
CUST00141,89678806252918773422,9711034020,4G,Prepaid,2022-01-13,Inactive
CUST00142,89703295170767759577,9174574179,4G,Postpaid,2024-01-27,Suspended
CUST00143,89321563237391266269,9800000133,4G,Postpaid,2023-06-28,Active
CUST00144,89631068154444452376,9148904011,5G,Postpaid,2023-04-07,Suspended
CUST00145,89318971251656534440,9581927724,4G,Prepaid,2023-04-13,Active
CUST00146,89132708930071424476,9764561846,4G,Postpaid,2025-11-28,Inactive
CUST00147,89045865924460260930,9833659747,5G,Prepaid,2026-02-09,Active
CUST00148,89334708474834918874,9871929083,5G,Postpaid,2023-08-18,Inactive
CUST00149,89492671329089841571,9656197896,4G,Postpaid,2022-09-08,Active
CUST00150,89411058888288724806,9669916992,5G,Postpaid,2024-06-03,Suspended
CUST00151,89676840938012660183,9086657486,5G,Postpaid,2022-05-14,Active
CUST00152,89932514502090542431,9597767380,4G,Postpaid,2022-07-07,Active
CUST00153,89141278097281090620,9068233733,4G,Prepaid,2022-03-21,Inactive
CUST00154,89306344362990394811,9412678865,4G,Prepaid,2022-07-28,Suspended
CUST00155,89764072051585331541,9385460521,5G,Postpaid,2025-01-11,Inactive
CUST00156,89881301008308689903,9133058789,5G,Prepaid,2026-05-24,Suspended
CUST00157,89703616223593662939,9295576930,5G,Postpaid,2022-06-07,Active
CUST00158,89802085254568479917,9079919062,4G,Postpaid,2023-10-05,Suspended
CUST00159,89802724198756225673,9434491974,5G,Prepaid,2025-02-08,Active
CUST00160,89426774871105773085,9848671172,4G,Postpaid,2023-02-21,Active
CUST00161,89055818638254365975,9634365094,4G,Prepaid,2024-05-22,Inactive
CUST00162,89562692268420922136,9672408962,4G,Postpaid,2022-12-18,Inactive
CUST00163,89979270237295343220,9321566701,5G,Postpaid,2023-06-19,Inactive
CUST00164,89394457282618679679,9710459992,4G,Postpaid,2026-06-05,Active
CUST00165,89599849860177556221,9898022131,5G,Prepaid,2025-05-15,Inactive
CUST00166,89674188050583891462,9034611734,4G,Postpaid,2023-12-24,Active
CUST00167,89795758118636907669,9414655451,4G,Postpaid,2025-06-28,Active
CUST00168,89732714583918732514,9559164915,5G,Postpaid,2024-04-10,Inactive
CUST00169,89060764903791894499,9036338648,5G,Prepaid,2024-03-17,Inactive
CUST00170,89045482135497599353,9074435250,5G,Postpaid,2022-11-11,Active
CUST00171,89255592214632878116,9536470669,4G,Postpaid,2023-06-28,Suspended
CUST00172,89983913508323235916,9813414524,5G,Prepaid,2025-02-11,Active
CUST00173,89746443992061104865,9915350904,5G,Prepaid,2023-07-03,Suspended
CUST00174,89578775507181025508,9184063929,5G,Prepaid,2026-04-11,Active
CUST00175,89344972755567070916,9132710049,4G,Postpaid,2026-03-31,Active
CUST00176,89846094567580948301,9438470981,4G,Prepaid,2026-04-22,Suspended
CUST00177,89590754118324102464,9091633923,4G,Postpaid,2024-12-12,Active
CUST00178,89498904190251190244,9932865711,4G,Prepaid,2023-12-11,Inactive
CUST00179,89167268772078324835,9128300623,5G,Prepaid,2021-08-13,Active
CUST00180,89617338719183878332,9924516791,5G,Postpaid,2024-05-20,Suspended
CUST00181,89637730603617928604,9196079117,5G,Postpaid,2023-12-27,Active
CUST00182,89275288209509749905,9359133531,4G,Postpaid,2022-08-19,Active
CUST00183,89791915883452454677,9628724504,5G,Prepaid,2025-03-15,Active
CUST00184,89082191438020896719,9477168289,4G,Prepaid,2023-03-03,Inactive
CUST00185,89091268975395322708,9244682163,5G,Postpaid,2025-04-05,Suspended
CUST00186,89271336769519491999,9703864732,5G,Postpaid,2025-09-15,Suspended
CUST00187,89819159778146589737,9242637836,5G,Prepaid,2021-08-17,Inactive
CUST00188,89007828197599230465,9414528784,5G,Prepaid,2023-06-27,Suspended
CUST00189,89312487097206881479,9044741764,5G,Prepaid,2026-02-18,Active
CUST00190,89264738688081261807,9105794065,4G,Prepaid,2026-03-26,Inactive
CUST00191,89748510175167683426,9293244483,4G,Prepaid,2026-05-02,Inactive
CUST00192,89911014152038829265,9995508977,5G,Prepaid,2024-03-18,Inactive
CUST00193,89213044048874696105,9281570662,4G,Prepaid,2022-04-09,Active
CUST00194,89767727057865520548,9622043771,4G,Postpaid,2025-06-06,Inactive
CUST00195,89690647640590440833,9724849261,5G,Prepaid,2025-04-08,Active
CUST00196,89526064416220346843,9305682080,5G,Postpaid,2025-05-03,Inactive
CUST00197,89716048057358844548,9780988220,4G,Prepaid,2024-03-25,Inactive
CUST00198,89615709827290892903,9109423547,4G,Prepaid,2025-03-02,Active
CUST00199,89558103909880325428,9279299025,5G,Postpaid,2024-01-11,Suspended
CUST00200,89449476614258579347,9227982579,4G,Postpaid,2026-02-04,Inactive
CUST00201,89124179424509203019,9432603224,5G,Prepaid,2021-07-17,Active
CUST00202,89850247152763668709,9770037817,4G,Postpaid,2021-07-14,Inactive
CUST00203,89083947207695368922,9685246088,4G,Postpaid,2026-04-10,Suspended
CUST00204,89326970367588135285,9085151228,4G,Postpaid,2024-04-19,Inactive
CUST00205,89595590095398497047,9099974941,4G,Prepaid,2023-08-09,Suspended
CUST00206,89405294191458929708,9590364873,4G,Prepaid,2022-05-05,Inactive
CUST00207,89808636621313071695,9590125996,4G,Prepaid,2023-01-13,Inactive
CUST00208,89605698735269090148,9329786715,5G,Postpaid,2025-05-22,Inactive
CUST00209,89841199475633879332,9959957194,4G,Postpaid,2023-09-11,Inactive
CUST00210,89991071072645629212,9071910353,4G,Prepaid,2024-02-05,Active
CUST00211,89694379627046487827,9592172340,5G,Prepaid,2023-10-14,Inactive
CUST00212,89865823630627778928,9588663143,4G,Prepaid,2022-03-26,Active
CUST00213,89985623116569502267,9115421188,5G,Prepaid,2021-10-05,Inactive
CUST00214,89916469487112567386,9192659517,4G,Postpaid,2021-10-29,Inactive
CUST00215,89435765939621835924,9664814313,4G,Postpaid,2025-04-19,Suspended
CUST00216,89161266818239245764,9019801106,4G,Prepaid,2022-04-28,Suspended
CUST00217,89206793857359405398,9443265495,5G,Postpaid,2023-04-03,Inactive
CUST00218,89510611638944941302,9978551791,5G,Prepaid,2026-03-19,Inactive
CUST00219,89261288227532626120,9698034594,5G,Postpaid,2025-04-16,Suspended
CUST00220,89076476722454846630,9940809100,5G,Prepaid,2021-10-22,Active
CUST00221,89132142334537502190,9981983331,4G,Prepaid,2024-07-30,Inactive
CUST00222,89413322457783379370,9266403075,5G,Prepaid,2023-10-31,Suspended
CUST00223,89298852496721113208,9990640810,4G,Postpaid,2026-04-02,Inactive
CUST00224,89269500196846873756,9091796510,4G,Postpaid,2022-10-22,Suspended
CUST00225,89143754740140525432,9865374945,5G,Prepaid,2023-09-25,Inactive
CUST00226,89092636903680776303,9318566549,4G,Postpaid,2024-08-16,Active
CUST00227,89843832750708604429,9812688810,5G,Postpaid,2024-09-13,Active
CUST00228,89346117386355631559,9320197030,4G,Prepaid,2022-08-04,Inactive
CUST00229,89186107672809504837,9623255881,4G,Prepaid,2025-12-05,Suspended
CUST00230,89290631479143942577,9776151807,5G,Prepaid,2021-11-25,Active
CUST00231,89824442934546266575,9467600425,5G,Prepaid,2021-11-05,Active
CUST00232,89720944030205594214,9712544584,4G,Prepaid,2023-06-17,Inactive
CUST00233,89794332031006523211,9961499014,4G,Prepaid,2025-04-09,Active
CUST00234,89042441491717923393,9444962521,4G,Postpaid,2023-09-13,Active
CUST00235,89581619203658410752,9897390766,4G,Prepaid,2024-02-16,Suspended
CUST00236,89626117132233168885,9244203157,4G,Prepaid,2025-06-22,Inactive
CUST00237,89327154927651603500,9581124507,5G,Postpaid,2022-04-11,Inactive
CUST00238,89462565320384354097,9350968019,5G,Prepaid,2023-01-26,Inactive
CUST00239,89417880071921071491,9166239352,4G,Prepaid,2025-04-09,Suspended
CUST00240,89604201900695473940,9772655813,5G,Prepaid,2022-06-04,Inactive
CUST00241,89481889874315772385,9354270182,4G,Prepaid,2023-04-08,Active
CUST00242,89291066994759377757,9200253046,4G,Prepaid,2022-09-15,Inactive
CUST00243,89962104771672633248,9718533115,4G,Postpaid,2022-03-11,Active
CUST00244,89105868308260155501,9835628753,5G,Postpaid,2025-09-08,Active
CUST00245,89853193486476963417,9336492152,4G,Prepaid,2025-10-02,Suspended
CUST00246,89158792008687264194,9871663930,4G,Postpaid,2021-09-10,Suspended
CUST00247,89436271213714591932,9168807018,4G,Postpaid,2021-11-05,Suspended
CUST00248,89859416612156910851,9557412512,4G,Postpaid,2022-03-09,Inactive
CUST00249,89649671196140045681,9340179194,5G,Postpaid,2022-10-10,Suspended
CUST00250,89436715283264269226,9576696253,5G,Postpaid,2022-10-11,Active
CUST00251,89091417625632019019,9171203457,4G,Postpaid,2025-08-05,Inactive
CUST00252,89967659296671496397,9756592300,5G,Postpaid,2025-07-12,Inactive
CUST00253,89749412517307178535,9223716643,5G,Prepaid,2026-01-23,Active
CUST00254,89098002650180990558,9519997211,5G,Postpaid,2022-07-15,Active
CUST00255,89553872147700828639,9927099306,4G,Prepaid,2025-12-16,Active
CUST00256,89366474682122797653,9420117310,4G,Prepaid,2021-09-30,Inactive
CUST00257,89700934574652320802,9104600520,5G,Postpaid,2021-10-22,Active
CUST00258,89333365761040587151,9686510389,4G,Prepaid,2021-08-11,Active
CUST00259,89418686742459056416,9227839290,5G,Prepaid,2024-09-09,Inactive
CUST00260,89714374832254538006,9244888076,5G,Postpaid,2025-01-04,Inactive
CUST00261,89670405718866892658,9765439592,5G,Prepaid,2023-02-15,Inactive
CUST00262,89252023661912286698,9312453474,4G,Postpaid,2022-02-04,Inactive
CUST00263,89302372171273364722,9084781822,4G,Postpaid,2023-12-03,Active
CUST00264,89392828834953876032,9449447484,4G,Postpaid,2025-06-16,Suspended
CUST00265,89902423952896699955,9445142157,4G,Prepaid,2024-07-27,Active
CUST00266,89433657167303273317,9260713391,5G,Prepaid,2022-10-11,Suspended
CUST00267,89826048591313038899,9276461239,5G,Postpaid,2022-05-09,Inactive
CUST00268,89997679106203646009,9525913720,5G,Postpaid,2025-02-21,Inactive
CUST00269,89356448487899958860,9309780399,4G,Postpaid,2025-08-14,Suspended
CUST00270,89064546609648474515,9862075391,5G,Postpaid,2023-11-13,Suspended
CUST00271,89009775373893505786,9289183507,5G,Prepaid,2023-10-24,Active
CUST00272,89737863869100579648,9550506815,4G,Postpaid,2025-05-09,Suspended
CUST00273,89411433766699167224,9627856621,4G,Postpaid,2021-09-24,Inactive
CUST00274,89239783111502381844,9724381445,5G,Postpaid,2021-11-23,Inactive
CUST00275,89334044011285079691,9499753014,5G,Postpaid,2023-02-19,Inactive
CUST00276,89049284617880413378,9338455450,4G,Prepaid,2026-01-10,Inactive
CUST00277,89355509544549952598,9221988481,5G,Postpaid,2023-09-01,Suspended
CUST00278,89924498392293746648,9059308989,5G,Postpaid,2023-09-29,Suspended
CUST00279,89032594140575995596,9222024176,5G,Prepaid,2024-10-31,Active
CUST00280,89128015115385360384,9683828266,5G,Postpaid,2022-11-08,Inactive
CUST00281,89741924659415181222,9009773549,4G,Prepaid,2023-03-31,Suspended
CUST00282,89575022719756093377,9959012135,4G,Prepaid,2024-09-20,Suspended
CUST00283,89647862971284055542,9125343646,4G,Prepaid,2024-11-27,Suspended
CUST00284,89729702786491331614,9067564403,5G,Prepaid,2025-05-08,Suspended
CUST00285,89874715589925402642,9221194572,5G,Prepaid,2025-09-02,Suspended
CUST00286,89641453733686020402,9532168555,5G,Prepaid,2024-03-03,Active
CUST00287,89457964888719919411,9945058360,4G,Prepaid,2024-01-28,Inactive
CUST00288,89506161507291960614,9884993928,5G,Postpaid,2025-07-31,Suspended
CUST00289,89822027754410993585,9980106528,4G,Prepaid,2024-07-07,Inactive
CUST00290,89416471992128185716,9305236141,4G,Prepaid,2025-12-28,Active
CUST00291,89301033997035155795,9707274200,4G,Postpaid,2024-04-17,Inactive
CUST00292,89213791156997150840,9940799397,5G,Postpaid,2023-05-13,Inactive
CUST00293,89979178374643803672,9485915905,4G,Prepaid,2021-07-19,Active
CUST00294,89791546060154827220,9878404147,4G,Postpaid,2024-10-01,Suspended
CUST00295,89978784899008646752,9887795156,4G,Postpaid,2024-12-04,Inactive
CUST00296,89420142969988579383,9137901688,5G,Prepaid,2023-03-04,Active
CUST00297,89813914054568125940,9763309947,4G,Prepaid,2022-04-12,Inactive
CUST00298,89388297236118577795,9592842767,4G,Prepaid,2026-06-19,Suspended
CUST00299,89417984339821041922,9653746678,5G,Postpaid,2023-06-06,Active
CUST00300,89644234168702811675,9716436111,4G,Prepaid,2024-08-13,Active
CUST00301,89099246076263274925,9524171687,5G,Prepaid,2024-12-14,Active
CUST00302,89853933113200820581,9256343251,4G,Postpaid,2021-10-02,Inactive
CUST00303,89938136029196161857,9028831491,5G,Prepaid,2024-08-29,Inactive
CUST00304,89727581908154850031,9112017474,4G,Prepaid,2024-12-06,Inactive
CUST00305,89731640975563400034,9796194238,4G,Postpaid,2023-05-06,Suspended
CUST00306,89844894731978878533,9124582470,5G,Postpaid,2022-02-04,Suspended
CUST00307,89237117576395321151,9927857436,4G,Prepaid,2023-07-01,Active
CUST00308,89746649989595628751,9424702691,5G,Prepaid,2024-09-04,Inactive
CUST00309,89286619210299572293,9669207297,5G,Postpaid,2022-12-22,Active
CUST00310,89360536985704302385,9187086334,5G,Postpaid,2026-06-09,Active
CUST00311,89481814792216009000,9975082903,4G,Postpaid,2023-04-13,Inactive
CUST00312,89308711412538397469,9980284402,5G,Postpaid,2023-07-16,Active
CUST00313,89375582204343648302,9268494147,5G,Prepaid,2025-06-26,Suspended
CUST00314,89093052734791890224,9751537926,5G,Prepaid,2024-05-01,Inactive
CUST00315,89077442084444037103,9823820002,5G,Postpaid,2022-03-16,Suspended
CUST00316,89712821735345811665,9782465530,5G,Prepaid,2023-06-29,Inactive
CUST00317,89081064395951236623,9212881690,5G,Postpaid,2022-08-27,Active
CUST00318,89406945757158770069,9322327234,4G,Postpaid,2022-03-30,Active
CUST00319,89741268318223995128,9160838814,4G,Postpaid,2023-06-05,Active
CUST00320,89185577515473824843,9233228466,5G,Prepaid,2025-09-10,Inactive
CUST00321,89231750401280947934,9081863213,4G,Prepaid,2023-05-18,Inactive
CUST00322,89177852637302355337,9521455447,4G,Prepaid,2024-08-20,Active
CUST00323,89570298415091261133,9004899744,5G,Prepaid,2025-07-04,Suspended
CUST00324,89920160140430445762,9597303748,4G,Prepaid,2023-08-16,Active
CUST00325,89260917310809450254,9374320060,4G,Postpaid,2022-12-26,Suspended
CUST00326,89461553741030113599,9773667585,4G,Prepaid,2026-04-17,Inactive
CUST00327,89159576963540362408,9573335383,5G,Prepaid,2025-07-16,Active
CUST00328,89027143100822450259,9389405694,4G,Prepaid,2024-11-10,Suspended
CUST00329,89873844514931885616,9927812079,5G,Prepaid,2023-04-13,Suspended
CUST00330,89244433828545826271,9809952242,5G,Prepaid,2021-07-20,Suspended
CUST00331,89961185021770305445,9173720170,5G,Prepaid,2022-12-23,Inactive
CUST00332,89451258144542203404,9555677473,4G,Prepaid,2022-08-07,Active
CUST00333,89349976224568781054,9674449989,4G,Postpaid,2025-07-02,Inactive
CUST00334,89894392839285387037,9677880302,5G,Prepaid,2022-03-30,Suspended
CUST00335,89772799088109117626,9008334187,4G,Postpaid,2024-05-21,Suspended
CUST00336,89920010919409368513,9503930380,5G,Prepaid,2024-03-27,Inactive
CUST00337,89349294464399449978,9313731295,4G,Postpaid,2026-05-01,Suspended
CUST00338,89109056546364199664,9881987599,5G,Postpaid,2023-10-07,Suspended
CUST00339,89436710770177018123,9292780992,5G,Postpaid,2022-10-02,Suspended
CUST00340,89665891238719727697,9910620467,5G,Postpaid,2023-08-18,Suspended
CUST00341,89412315611933484637,9381691948,4G,Prepaid,2021-09-26,Inactive
CUST00342,89464198081564392119,9769864449,4G,Prepaid,2022-08-08,Active
CUST00343,89309190677468039075,9510154272,5G,Prepaid,2022-07-28,Active
CUST00344,89389040626749174554,9301808725,5G,Prepaid,2024-07-11,Inactive
CUST00345,89957696258666304966,9022727521,4G,Prepaid,2025-11-02,Active
CUST00346,89205306490858794148,9231143416,4G,Prepaid,2025-02-09,Suspended
CUST00347,89302488764611329883,9267759727,4G,Prepaid,2021-08-17,Inactive
CUST00348,89167900711775802188,9984605346,4G,Postpaid,2022-12-08,Active
CUST00349,89903806951319117693,9096834869,4G,Prepaid,2026-02-23,Active
CUST00350,89310026799357017631,9462929177,5G,Postpaid,2024-08-28,Active
CUST00351,89386906017429062981,9539081100,5G,Postpaid,2023-05-10,Active
CUST00352,89059625449087801588,9783182637,5G,Prepaid,2022-06-03,Active
CUST00353,89408099125037545058,9870322508,4G,Prepaid,2026-06-09,Active
CUST00354,89555514903479477646,9922744545,4G,Postpaid,2025-05-23,Inactive
